0xbf807a5cL ?dhpdevRetrieveNode@@YGPAU_DHPDEV_ASSOCIATION_NODE@@PAUDHPDEV__@@@Z
0xbf807aa9L ?WatchdogDrvBitBlt@@YGHPAU_SURFOBJ@@00PAU_CLIPOBJ@@PAU_XLATEOBJ@@PAU_RECTL@@PAU_POINTL@@4PAU_BRUSHOBJ@@4K@Z
0xbf807b76L ?bOpenKey@@YGHPBGPAPAX@Z
0xbf807bcaL _CreateKernelEvent@8
0xbf807bfeL ?bSetStockObject@@YGHPAXHH@Z
0xbf807c42L ?bLoadAFont@PUBLIC_PFTOBJ@@QAEHPAGPAKKPAPAVPFF@@PAU_EUDCLOAD@@@Z
0xbf807cbeL ?StringCchCatW@@YGJPAGIPBG@Z
0xbf807d34L _wcsncmp
0xbf807d70L _FreeKernelEvent@4
0xbf807d90L _xxxInitInput@4
0xbf807e1dL _RawInputThread@4
0xbf8084d4L _InitKeyboard@0
0xbf8084eeL _CSTPop@8
0xbf80853cL _xxxCreateSystemThreads@0
0xbf80859cL _InitCreateSystemThreadsMsg@12
0xbf8085dbL _CSTPush@8
0xbf80861dL _CreateTerminalInput@4
0xbf808640L _InitMice@0
0xbf80867dL _InitSystemThread@4
0xbf80881aL _xxxInitTerminal@4
0xbf8089e1L ??0PFFMEMOBJ@@QAE@PAVPFF@@KKPAVPFT@@@Z
0xbf808ac2L _SetDebugHotKeys@0
0xbf808b2bL _SetWinlogonHotKeys@0
0xbf808b9eL _AddSasKey@8
0xbf808bdaL _xxxInitWindowStation@0
0xbf808c9aL _NlsKbdInitializePerSystem@0
0xbf808e49L _xxxDesktopThread@4
0xbf8090b3L _NlsSetKeyStateToggle@4
0xbf809101L _SetWindowArrangementHotKeys@0
0xbf80917eL _FinalUserInit@0
0xbf8092b4L _MNSetupAnimationDC@4
0xbf8092faL _xxxCreateDisconnectDesktop@8
0xbf80945aL _LoadFileContent@20
0xbf809524L _xxxClientGetCharsetInfo@8
0xbf8095c5L _xxxImmActivateLayout@8
0xbf809639L _xxxImmLoadLayout@4
0xbf8096b8L _ClientImmLoadLayout@8
0xbf80975dL _LoadKeyboardLayoutFile@28
0xbf80981eL _ReadLayoutFile@16
0xbf809ee9L _InitTooltipAnimation@4
0xbf809f2bL _GreStartTimers@0
0xbf809f6aL __SetWatermarkStrings@4
0xbf80a08dL _SetDisconnectDesktopSecurity@4
0xbf80a185L ?ldevFillTable@@YGHPAU_LDEV@@PAUtagDRVENABLEDATA@@W4_LDEVTYPE@@@Z
0xbf80a233L ?bFillFunctionTable@@YGHPAU_DRVFN@@KPAP6GJXZ@Z
0xbf80a27fL ?bFillWatchdogTable@@YGHPAP6GJXZ0W4_LDEVTYPE@@@Z
0xbf80a2f2L ?bEARecovery@@YGHXZ
0xbf80a35bL ?WatchdogDrvCopyBits@@YGHPAU_SURFOBJ@@0PAU_CLIPOBJ@@PAU_XLATEOBJ@@PAU_RECTL@@PAU_POINTL@@@Z
0xbf80a40cL _CloseDevice@4
0xbf80a451L _GreCreatePatternBrush@4
0xbf80a46bL _FreeDeviceInfo@4
0xbf80a555L ?bIntersect@@YIHPBU_RECTL@@0@Z
0xbf80a57fL _NtUserInitializeClientPfnArrays@16
0xbf80a625L _InitializeClientPfnArrays@16
0xbf80a756L _InitAnsiOem@8
0xbf80a7cbL _vIFIMetricsToEnumLogFontExDvW@8
0xbf80a850L _SetGlobalCursorLevel@4
0xbf80a8cbL ?LOADSTRING@@YGHPAXIPAGH@Z
0xbf80a956L ?bGetRegString@@YG_NPAXPBGPAGK@Z
0xbf80a9ccL _GreMarkDCUnreadable@4
0xbf80aa35L _DrvSetBaseVideo@4
0xbf80aa4bL _InitUserScreen@0
0xbf80adf2L _GreSetBrushGlobal@4
0xbf80ae23L _LW_BrushInit@0
0xbf80aeb3L _UserIsSafeModeEnabled@0
0xbf80aec0L _GetDpiSetting@8
0xbf80af88L ?FinishStockFontInit@@YGXK@Z
0xbf80b07eL _pvFindResourceWithModuleHandle@16
0xbf80b09fL ?FinishStockFontInitInternal@@YGXPBGH@Z
0xbf80b20dL _pvFindResource@20
0xbf80b24eL _ClearCachedHotkeyModifiers@0
0xbf80b265L _GetBiosNumLockStatus@0
0xbf80b2cbL _KeyboardDeviceSpecificCallout@44
0xbf80b327L __LoadCursorsAndIcons@0
0xbf80b3cfL _CreateShutdownEvent@12
0xbf80b482L _GetWin32kDriverObject@0
0xbf80b547L _DeviceClassNotify@8
0xbf80b5ddL ?W32kCddIncPresentUniq@@YGXXZ
0xbf80b5e9L _xxxRegisterForDeviceClassNotifications@0
0xbf80b683L _OpenMultiplePortDevice@4
0xbf80b7b9L _CreateDeviceInfo@12
0xbf80b902L _QueryDeviceInfo@4
0xbf80b97fL _RegisterForDeviceChangeNotifications@4
0xbf80b9fdL _GetKbdExId@8
0xbf80bac2L _HidCreateDeviceInfo@4
0xbf80bcccL _DeviceClassCDROMNotify@8
0xbf80bdbdL _GetDeviceObjectPointer@24
0xbf80be71L _HidGetCaps@12
0xbf80bf82L _AllocateHidDesc@16
0xbf80bfffL _RegisterCDROMNotify@0
0xbf80c033L _RequestSyncDeviceChange@12
0xbf80c075L _StopDeviceRead@4
0xbf80c0a3L _IsRDPKeyboard@4
0xbf80c0c8L _IsKnownKeyboardType@8
0xbf80c0faL _SetDPIinSetup@0
0xbf80c436L _DrvDxgkLogCodePointPacket@16
0xbf80c489L _DxgkDiagInitializeCodePointPacket@20
0xbf80c4beL _DrvSetMonitorBrightness@8
0xbf80c5e8L _NtUserRegisterServicesProcess@4
0xbf80c63aL _SetConnectedState@8
0xbf80c682L _AllocAce@24
0xbf80c73aL _CreateSecurityDescriptor@12
0xbf80c802L _NtUserRemoteConnect@12
0xbf80c8d1L _RetrieveCurrentDisplayState@0
0xbf80c91aL _RemoteConnect@12
0xbf80cce0L _GreMultiUserInitSession@44
0xbf80cda3L _GreGetRemoteContext@0
0xbf80cdaeL _SetConsoleSwitchInProgress@4
0xbf80ce02L _SetProtocolType@4
0xbf80ced7L _xxxConnectService@12
0xbf80d167L ??0PFFMEMOBJ@@QAE@IPAGKKPAUtagDESIGNVECTOR@@KKPAUHDEV__@@PAUDHPDEV__@@PAVPFT@@KKPAU_FNTCHECKSUM@@PAPAU_FONTFILEVIEW@@PAU_UNIVERSAL_FONT_ID@@@Z
0xbf80d3ccL ?bLoadFontFileTable@PFFMEMOBJ@@QAEHPAGKPAU_UNIVERSAL_FONT_ID@@PAU_EUDCLOAD@@@Z
0xbf80d485L ?QueryFontFile@PDEVOBJ@@QAEJKKKPAK@Z
0xbf80d4d1L _ttfdQueryFontFile@16
0xbf80d5bfL _EngFntCacheLookUp@8
0xbf80d642L _bLoadTTF@32
0xbf80da2aL _vCopy_IFIV@8
0xbf80dad2L _GreAddFontResourceWInternal@28
0xbf80dba6L _bCheckAndCapThePath@16
0xbf80dc1aL _NtGdiAddFontResourceW@24
0xbf80ddb3L _bVerifyFNTQuick@4
0xbf80de0aL _bGetFntResource@12
0xbf80dee5L _bMappedViewStrlen@16
