0xbf8fd743L 1 28 _xxxRealDrawMenuItem@24
0xbf94e3fbL 1 10 _xxxDrawMenuBarUnderlines@8
0xbf84cd58L 1 8 _xxxMNCompute@24
0xbf9419e5L 1 4 _xxxShowTooltip@4
0xbf851c32L 1 27 _xxxDrawCaptionBar@12
0xbf95517fL 1 0 _NtUserDrawCaption@16
0xbf956912L 1 0 _NtUserDrawCaptionTemp@28
0xbf9644beL 1 12 _xxxAnimateCaption@16
0xbf97d41eL 1 3 _NeedsEndEllipsis@28
0xbf834a08L 1 2 _xxxSetClassLong@16
0xbf81bd52L 1 16 _xxxCreateWindowStation@40
0xbf830c4aL 1 3 _xxxCsDdeInitialize@20
0xbf882adbL 1 2 _xxxCreateDefaultImeWindow@12
0xbf88b4bdL 1 24 _xxxCreateDesktopEx@32
0xbf890e0eL 1 0 _NtUserCreateWindowEx@60
0xbf929654L 1 22 _xxxMNOpenHierarchy@8
0xbf93d8a2L 1 6 _xxxAddShadow@4
0xbf93f14eL 1 20 _xxxTrackPopupMenuEx@24
0xbf961424L 1 12 _xxxNextWindow@8
0xbf8a71d6L 1 6 _xxxSetWindowLong@16
0xbf8f255aL 1 9 __ReplyMessage@4
0xbf9545daL 1 0 _NtUserWaitForMsgAndEvent@4
0xbf95db9aL 1 11 _xxxDirectedYield@4
0xbf8390cdL 1 3 _xxxSleepThreadWithPwnd@16
0xbf8c0de3L 1 13 _xxxSleepThread@12
0xbf9215c7L 1 2 _xxxWaitForInputIdle@12
0xbf8a21ceL 1 29 _xxxFlushDeferredWindowEvents@0
0xbf8a495dL 1 32 _xxxProcessEventMessage@8
0xbf8ded3dL 1 105 _xxxWindowEvent@20
0xbf81dbe7L 1 3 _xxxLoadSysDesktopMenu@8
0xbf89c1f8L 1 2 _xxxGetSystemMenu@8
0xbf963a53L 1 6 _xxxDoScrollMenu@16
0xbf86f94eL 1 11 _xxxLoadUserApiHook@0
0xbf871ae8L 1 1 _xxxGetEventProc@4
0xbf815a8aL 1 5 _xxxInternalUnloadKeyboardLayout@12
0xbf83a338L 1 9 _xxxInternalActivateKeyboardLayout@12
0xbf872e50L 1 34 _xxxScanSysQueue@28
0xbf887e2eL 1 7 _xxxSetTrayWindow@16
0xbf897426L 1 17 _xxxSetFocus@4
0xbf8a0915L 1 53 _xxxDestroyWindow@4
0xbf8fa4abL 1 7 _xxxHandleOwnerSwitch@12
0xbf85f7e1L 1 7 _xxxInternalPaintDesktop@16
0xbf8832a1L 1 0 _NtUserEnumDisplayMonitors@16
0xbf8788edL 1 5 _xxxDWP_SetIcon@12
0xbf879dbcL 1 5 _xxxGetWindowSmIcon@8
0xbf97be7cL 1 5 _xxxRecreateSmallIcons@4
0xbf91b328L 1 5 _xxxSetClassIcon@16
0xbf8b1d67L 1 0 _NtUserPeekMessage@20
0xbf8c0e2cL 1 0 _NtUserGetMessage@16
0xbf8e8aceL 1 6 _xxxMNDoubleClick@12
0xbf929d20L 1 3 _xxxMNRemoveMessage@8
0xbf947216L 1 8 _xxxIsDragging@16
0xbf94858cL 1 9 _xxxDCETrackCaptionButton@8
0xbf95de1cL 1 23 _xxxDragObject@20
0xbf964bd7L 1 18 _xxxTrackCaptionButton@8
0xbf978978L 1 1 _xxxMS_FlushWigglies@0
0xbf8b1ea6L 1 0 _NtUserWaitMessage@0
0xbf8a0febL 1 2 _xxxFW_DestroyAllChildren@4
0xbf804aceL 1 6 _UserInitialize@0
0xbf8ccf10L 1 4 _UserThreadCallout@8
0xbf8ed4f9L 1 1 _xxxToUnicodeEx@28
0xbf94c09eL 1 8 _xxxTranslateMessage@8
0xbf8fb86dL 1 1 _xxxExecute@12
0xbf8fba69L 1 1 _xxxExecuteAck@12
0xbf96da18L 1 5 _xxxCopyAckIn@16
