0xbf87a7deL _NtUserGetDCEx@12
0xbf9b5bcaL _NtGdiEngTextOut@40
0xbf9c2ccdL ?BmpDevTextOut@@YGHPAU_SURFOBJ@@PAU_STROBJ@@PAU_FONTOBJ@@PAU_CLIPOBJ@@PAU_RECTL@@4PAU_BRUSHOBJ@@5PAU_POINTL@@K@Z
0xbf9d7d8dL ?PanTextOut@@YGHPAU_SURFOBJ@@PAU_STROBJ@@PAU_FONTOBJ@@PAU_CLIPOBJ@@PAU_RECTL@@4PAU_BRUSHOBJ@@5PAU_POINTL@@K@Z
0xbf9b56d1L _NtGdiEngAlphaBlend@28
0xbf9d7a92L ?PanAlphaBlend@@YGHPAU_SURFOBJ@@0PAU_CLIPOBJ@@PAU_XLATEOBJ@@PAU_RECTL@@3PAU_BLENDOBJ@@@Z
0xbf9b52b2L _NtGdiEngStrokeAndFillPath@40
0xbf9c263bL ?BmpDevStrokeAndFillPath@@YGHPAU_SURFOBJ@@PAU_PATHOBJ@@PAU_CLIPOBJ@@PAU_XFORMOBJ@@PAU_BRUSHOBJ@@PAU_LINEATTRS@@4PAU_POINTL@@KK@Z
0xbf9d792fL ?PanStrokeAndFillPath@@YGHPAU_SURFOBJ@@PAU_PATHOBJ@@PAU_CLIPOBJ@@PAU_XFORMOBJ@@PAU_BRUSHOBJ@@PAU_LINEATTRS@@4PAU_POINTL@@KK@Z
0xbf9426a5L ?W32kCddStrokePath@@YGHPAU_SURFOBJ@@PAU_PATHOBJ@@PAU_CLIPOBJ@@PAU_XFORMOBJ@@PAU_BRUSHOBJ@@PAU_POINTL@@PAU_LINEATTRS@@KPAU_W32KCDD_ENG_CALLBACKS@@@Z
0xbf9b4f6dL _NtGdiEngStrokePath@32
0xbf9c2578L ?BmpDevStrokePath@@YGHPAU_SURFOBJ@@PAU_PATHOBJ@@PAU_CLIPOBJ@@PAU_XFORMOBJ@@PAU_BRUSHOBJ@@PAU_POINTL@@PAU_LINEATTRS@@K@Z
0xbf9d7866L ?PanStrokePath@@YGHPAU_SURFOBJ@@PAU_PATHOBJ@@PAU_CLIPOBJ@@PAU_XFORMOBJ@@PAU_BRUSHOBJ@@PAU_POINTL@@PAU_LINEATTRS@@K@Z
0xbf88921cL _NtUserDrawIconEx@44
0xbf8786ceL _NtGdiSaveDC@4
0xbf9a849fL _NtGdiAngleArc@24
0xbf9a83a9L _NtGdiPolyDraw@16
0xbf9a8903L _NtGdiSelectPen@8
0xbf9a88f3L _NtGdiSelectBrush@8
0xbf8d2d6aL _NtGdiCreateCompatibleDC@4
0xbf9884d3L _DxEngGetDesktopDC@12
0xbf9bd758L ?MulGradientFill@@YGHPAU_SURFOBJ@@PAU_CLIPOBJ@@PAU_XLATEOBJ@@PAU_TRIVERTEX@@KPAXKPAU_RECTL@@PAU_POINTL@@K@Z
0xbf9bd905L ?MulDrawStream@@YGHPAU_SURFOBJ@@0PAU_CLIPOBJ@@PAU_XLATEOBJ@@PAU_RECTL@@PAU_POINTL@@KPAXPAU_DSSTATE@@@Z
0xbf8a16e0L _NtGdiCreatePatternBrushInternal@12
0xbf8d43b5L _NtGdiCreateSolidBrush@8
0xbf9ac3a3L _NtGdiCreateHatchBrushInternal@12
0xbf849716L _NtUserDeferWindowPos@32
0xbf8ddd4cL _NtUserScrollDC@28
0xbf94c919L _NtGdiStretchBlt@48
0xbf9b47d9L _NtGdiEngStretchBltROP@52
0xbf836a9eL ?bSpBltFromScreen@@YGHPAU_SURFOBJ@@00PAU_CLIPOBJ@@PAU_XLATEOBJ@@PAU_RECTL@@PAU_POINTL@@4PAU_BRUSHOBJ@@4K@Z
0xbf955808L _NtUserSetMirrorRendering@8
0xbf83a2e6L _NtGdiCreatePen@16
0xbf827d52L ?DxgkEngAcquireWin32kAndPDEVLocks@@YGXQBXI@Z
0xbf8280b2L ?DxgkEngReleaseWin32kAndPDEVLocks@@YGXQBXI@Z
0xbf9883d1L _DxEngEnumerateHdev@4
0xbf98ec3dL _NtGdiEndPage@4
0xbf9963bcL _EngDeleteWnd@4
0xbf99ff8dL _EngMovePointer@16
0xbf8a8ad1L _NtUserGetWindowDC@4
0xbf8acbebL _NtUserGetDC@4
0xbf958c16L _NtUserSfmDestroyLogicalSurfaceBinding@4
0xbf8af2fcL _NtGdiDrawStream@12
0xbf882336L _NtUserUnregisterClass@12
0xbf8ee86cL _NtUserSetClipboardData@12
0xbf9b5a72L _NtGdiEngTransparentBlt@32
0xbf9d79feL ?PanTransparentBlt@@YGHPAU_SURFOBJ@@0PAU_CLIPOBJ@@PAU_XLATEOBJ@@PAU_RECTL@@3KK@Z
0xbf8ecebbL ?SpDrawStream@@YGHPAU_SURFOBJ@@0PAU_CLIPOBJ@@PAU_XLATEOBJ@@PAU_RECTL@@PAU_POINTL@@KPAXPAU_DSSTATE@@@Z
0xbf98844aL _DxEngSpUnTearDownSprites@12
0xbf98f3e5L _NtGdiAddRemoteMMInstanceToDC@12
0xbf99e5aeL _NtGdiAddRemoteFontToDC@16
0xbf9ac110L ?GreSynchronizeTimer@@YGXPAXIIJ@Z
0xbf98a0acL _NtGdiDdDDISharedPrimaryLockNotification@4
0xbf98eef8L _NtGdiDoBanding@16
